"","community_garden","notes","community_center","restrooms_available","skate_park","historic_features","mountain_bike_trails","park_name","picnic_shelters","hiking_trails","picnic_shelters_quantity","disc_golf","football_multi_purpose_fields","tennis_courts","playground","canoe_launch","swimming_pool","mapped_location.human_address","mapped_location.needs_recoding","baseball_fields","spray_park","ada_accessible","nature_center","walk_jog_paths","boat_launch","basketball_courts","camping_available_by_permit","dog_park","fishing_by_permit","volleyball","soccer_fields","acres","horse_trails","golf_course","lake","mapped_location.latitude","mapped_location.longitude"
"42","No"," ","No","No","No","No","No","Green Hills Park","Yes","No","1","No","No","Yes","Yes","No","No","{""address"":""1200 Lone Oak Rd"",""city"":""Nashville"",""state"":""TN"",""zip"":""""}",FALSE,"Yes","No","Yes","No","Yes","No","No","No","No","No","No","Yes","13.03","No","No","No","36.094665","-86.801264"
"43","No","Historic James Robertson House","No","Yes","No","No","No","H. G. Hill Park","Yes","No","0","No","No","No","Yes","Yes","No","{""address"":""6710 Charlotte Pike"",""city"":""Nashville"",""state"":""TN"",""zip"":""""}",FALSE,"No","No","Yes","No","No","No","No","No","No","No","No","No","8.53","No","No","No","36.135126","-86.887084"
"44","No","Indoor tennis structure - 19 indoor courts, band shell / amphetheater, 2 reservable picnic shelter, indoor pool, walking trail","Yes","Yes","No","No","No","Hadley Park","Yes","No","2","No","No","Yes","Yes","Yes","Yes","{""address"":""1037 28th Ave North"",""city"":""Nashville"",""state"":""TN"",""zip"":""""}",FALSE,"Yes","No","Yes","No","Yes","No","Yes","No","No","No","No","No","30.7","No","No","No","36.166565","-86.82044"
"45","No","Sailboat Marina, Mountain Bike Trail, 2 Boat Launch Ramps","No","Yes","No","No","Yes","Hamilton Creek Park","No","Yes","0","No","No","No","Yes","No","No","{""address"":""2901 Bell Rd"",""city"":""Nashville"",""state"":""TN"",""zip"":""""}",FALSE,"No","No","Yes","No","No","Yes","No","No","No","No","No","No","381.36","No","No","No","36.096695","-86.624929"
"46","No","Fabric Shade Structure, Informal ball field","No","No","No","No","No","Harpeth Knoll Park","No","No","0","No","No","No","Yes","No","No","{""address"":""708 Goodpasture Terrace"",""city"":""Nashville"",""state"":""TN"",""zip"":""""}",FALSE,"Yes","No","Yes","No","No","No","No","No","No","No","No","No","9.88","No","No","No","36.058643","-86.937415"
"47","Yes","Soccer Fields Subleased to Community Organization","No","No","No","No","No","Harpeth River Park","No","No","0","No","No","No","No","No","No","{""address"":""7820 Coley Davis Rd"",""city"":""Nashville"",""state"":""TN"",""zip"":""""}",FALSE,"No","No","No","No","No","No","No","No","No","No","No","Yes","69.86","No","No","No","36.078732","-86.960617"
"48","No","Soccer Fields Subleased to Community Organization","No","No","No","No","No","Heartland Park","No","No","0","No","No","No","No","No","No","{""address"":""3101 Heartland Dr"",""city"":""Nashville"",""state"":""TN"",""zip"":""""}",FALSE,"No","No","No","No","No","Yes","No","No","No","No","No","Yes","74.38","No","No","No","36.187364","-86.668212"
"49","No","Interpretive Sink Hole Deck, Sun Dial Structure, 1 reservable picnic shelter","Yes","Yes","No","No","No","Hermitage Park","Yes","No","2","No","No","No","Yes","No","No","{""address"":""3720 James Kay Lane"",""city"":""Nashville"",""state"":""TN"",""zip"":""""}",FALSE,"No","No","Yes","No","No","No","No","No","No","No","No","No","22.19","No","No","No",NA,NA
"50","No"," ","No","No","No","No","No","Hope Gardens Park","No","No","0","No","No","No","Yes","No","No","{""address"":""1009 Phillips St"",""city"":""Nashville"",""state"":""TN"",""zip"":""""}",FALSE,"No","No","Yes","No","No","No","No","No","No","No","No","No","0.4","No","No","No","36.171082","-86.794845"
"51","No","Volleyball","No","No","No","No","No","Isaac Litton School Park","Yes","No","1","No","No","Yes","Yes","No","No","{""address"":""4500 Gallatin Pike"",""city"":""Nashville"",""state"":""TN"",""zip"":""""}",FALSE,"No","No","Yes","No","No","No","No","No","No","No","Yes","No","5.7","No","No","No","36.228269","-86.725196"
"52","No","Indoor Pool","Yes","No","No","No","No","J. C. Napier Park","No","No","0","No","No","No","Yes","No","Yes","{""address"":""67 Fairfield Ave"",""city"":""Nashville"",""state"":""TN"",""zip"":""""}",FALSE,"No","No","Yes","No","No","No","No","No","No","No","No","No","2.22","No","No","No","36.150407","-86.756957"
"53","No"," ","No","Yes","No","No","No","Joelton Park","Yes","No","1","No","Yes","Yes","Yes","No","No","{""address"":""21 Joelton Community Center Rd"",""city"":""Nashville"",""state"":""TN"",""zip"":""""}",FALSE,"Yes","No","Yes","No","Yes","No","No","No","No","No","No","Yes","18.38","No","No","No",NA,NA
"54","No"," ","No","No","No","No","No","Joseph Brown Mullins Park","Yes","No","1","No","No","No","No","No","No","{""address"":""4297 Drake Wood Lane"",""city"":""Nashville"",""state"":""TN"",""zip"":""""}",FALSE,"No","No","No","No","Yes","No","No","No","No","No","No","No","34.85","No","No","No","36.209117","-86.850825"
"55","No","Spray Park","Yes","Yes","No","No","No","Kirkpatrick Park","No","No","0","No","No","No","Yes","No","Yes","{""address"":""1000 Sevier St"",""city"":""Nashville"",""state"":""TN"",""zip"":""""}",FALSE,"Yes","Yes","Yes","No","No","No","Yes","No","No","No","No","No","7.96","No","No","No","36.167927","-86.752028"
"56","No"," ","No","No","No","No","No","Lakewood Park","No","No","0","No","No","No","Yes","No","No","{""address"":""319 Pitts Ave"",""city"":""Nashville"",""state"":""TN"",""zip"":""""}",FALSE,"Yes","No","No","No","No","No","No","No","No","No","No","No","4.4","No","No","No",NA,NA
"57","No"," ","No","No","No","No","No","Lock One Park","No","No","0","No","No","No","No","No","No","{""address"":""1530 Lock Rd"",""city"":""Nashville"",""state"":""TN"",""zip"":""""}",FALSE,"No","No","No","No","No","No","No","No","No","No","No","No","3.42","No","No","No","36.199534","-86.78709"
"58","No"," ","No","No","No","No","No","Lock Two Park","No","No","0","No","No","No","Yes","No","No","{""address"":""2 Rd"",""city"":""Nashville"",""state"":""TN"",""zip"":""""}",FALSE,"No","No","Yes","No","No","Yes","No","No","No","No","No","No","5.73","No","No","No",NA,NA
"59","No","Natural Area","No","No","No","No","No","Lockeland Springs Park","No","No","0","No","No","No","No","No","No","{""address"":""1810 Woodland St"",""city"":""Nashville"",""state"":""TN"",""zip"":""""}",FALSE,"No","No","No","No","No","No","No","No","No","No","No","No","2.23","No","No","No","36.176806","-86.737144"
"60","No","Informal Ball Felds, 1 reservable picnic shelter","No","No","No","No","No","Louise and Rebecca Dudley Park","Yes","No","1","No","Yes","No","Yes","No","No","{""address"":""305 Chestnut St"",""city"":""Nashville"",""state"":""TN"",""zip"":""""}",FALSE,"Yes","No","Yes","No","No","No","No","No","No","No","No","No","6.44","No","No","No","36.145231","-86.765929"
"61","No","Limiited organized access. Must be accompanied by Parks staff","No","No","No","No","No","Lytle Farm","No","Yes","0","No","No","No","No","No","No","{""address"":""1266 Stoens River Road"",""city"":""Nashville"",""state"":""TN"",""zip"":""""}",FALSE,"No","No","No","No","No","No","No","No","No","No","No","No","615.9","No","No","No",NA,NA
"62","No","2 Reservable Picnic Shelters, Volleyball","Yes","Yes","No","No","No","Madison Park","Yes","No","2","No","No","Yes","Yes","No","No","{""address"":""510 Cumberland Ave"",""city"":""Nashville"",""state"":""TN"",""zip"":""""}",FALSE,"Yes","No","Yes","No","Yes","No","Yes","No","No","No","Yes","No","30.74","No","No","No",NA,NA
"63","No","Greenway Trailhead","Yes","Yes","No","No","No","McCabe Park","No","No","0","No","No","No","Yes","No","No","{""address"":""4601 Murphy Rd"",""city"":""Nashville"",""state"":""TN"",""zip"":""""}",FALSE,"Yes","No","Yes","No","Yes","No","Yes","No","No","No","No","No","208.98","No","Yes","No","36.141022","-86.840579"
"64","No"," ","Yes","No","No","No","No","McFerrin Park","No","No","0","No","No","Yes","Yes","No","No","{""address"":""310 Grace Street"",""city"":""Nashville"",""state"":""TN"",""zip"":""""}",FALSE,"Yes","No","Yes","No","No","No","Yes","No","No","No","No","No","11.13","No","No","No","36.182601","-86.767594"
"65","No"," ","No","No","No","No","No","McKissack Park","No","No","0","No","No","No","Yes","No","No","{""address"":""28th Ave"",""city"":""Nashville"",""state"":""TN"",""zip"":""""}",FALSE,"No","No","Yes","No","No","No","No","No","No","No","No","No","1.5","No","No","No",NA,NA
"66","No"," ","No","Yes","No","No","No","Metro Soccer Complex","No","No","0","No","No","No","No","No","No","{""address"":""1266 Donelson Pike"",""city"":""Nashville"",""state"":""TN"",""zip"":""""}",FALSE,"No","No","No","No","No","No","No","No","No","No","No","Yes","64.17","No","No","No","36.100019","-86.676376"
"67","No"," ","No","No","No","No","No","Mildred Shute Minipark","No","No","0","No","No","No","Yes","No","No","{""address"":""73 Maury"",""city"":""Stx Nashville"",""state"":""TN"",""zip"":""""}",FALSE,"No","No","No","No","No","No","No","No","No","No","No","No","0.4","No","No","No","36.151629","-86.759323"
"68","No"," ","No","No","No","No","No","Mill Creek Park","No","No","0","No","No","No","No","No","No","{""address"":""6036 CULBERTSON RD"",""city"":""Nashville"",""state"":""TN"",""zip"":""""}",FALSE,"No","No","No","No","No","No","No","No","No","No","No",NA,"85.62","No","No","No",NA,NA
"69","No"," ","No","No","No","No","No","Monroe Street Playground","No","No","0","No","No","No","Yes","No","No","{""address"":""1043 Monroe Street"",""city"":""Nashville"",""state"":""TN"",""zip"":""""}",FALSE,"No","No","Yes","No","No","No","Yes","No","No","No","No","No","0.68","No","No","No","36.173664","-86.798856"
"70","No"," ","Yes","Yes","No","No","No","Morgan Park","No","Yes","0","No","Yes","No","Yes","No","No","{""address"":""411 Hume Street"",""city"":""Nashville"",""state"":""TN"",""zip"":""""}",FALSE,"No","No","Yes","No","No","No","Yes","No","No","No","No","No","6.63","No","No","No","36.180857","-86.790881"
"71","No"," ","No","No","No","No","No","Oakwood Park","No","No","0","No","No","No","Yes","No","No","{""address"":""2572 Bethwood Drive"",""city"":""Nashville"",""state"":""TN"",""zip"":""""}",FALSE,"No","No","No","No","No","No","Yes","No","No","No","No","No","26.28","No","No","No","36.21464","-86.750049"
"72",NA,"Arts Center","No","No","No","No","No","OHUD Arts center","No","No","0","No","No","No","No","No","No","{""address"":""1308 Fuller St"",""city"":""Nashville"",""state"":""TN"",""zip"":""""}",FALSE,"No","No","No","No","No",NA,"Yes","No","No","No","No","No","1.61","No","No","No",NA,NA
"73",NA,"Community Center, tennis courts, outdoor pool, playground","Yes","Yes","No","No","No","OHUD Community Center","No","No","0","No","No","Yes","Yes","No","Yes","{""address"":""1050 Donelson Ave"",""city"":""Nashville"",""state"":""TN"",""zip"":""""}",FALSE,"No","No","Yes","No","No",NA,"No","No","No","No","No","No","13.58","No","No","No","36.1163","-86.668478"
"74",NA," ","No","No","No","No","No","OHUD Large Baseball Field","No","No","0","No","No","No","No","No","No","{""address"":""1700 Golf Club Rd"",""city"":""Nashville"",""state"":""TN"",""zip"":""""}",FALSE,"Yes","No","No","No","No",NA,"No","No","No","No","No","No","6.01","No","No","No","36.210657","-86.716353"
"75","No"," ","No","No","No",NA,"No","Old Hickory Cemetery","No","No","0","No","No","Yes","Yes","No","No","{""address"":""1207 Donelson Ave"",""city"":""Nashville"",""state"":""TN"",""zip"":""""}",FALSE,"No","No","Yes","No","No","No","No","No","No","No","No","No","0.12","No","No","No","36.107487","-86.672326"
"76","No","Music Row Roundabout","No","No","No","No","No","Owen Bradley Park","No","No","0","No","No","No","No","No","No","{""address"":""1 Music Square E"",""city"":""at Division St Nashville"",""state"":""TN"",""zip"":""""}",FALSE,"No","No","No","No","No","No","No","No","No","No","No","No","0.59","No","No","No","36.151544","-86.791652"
"77","No","community meeting space, gym, playground, walking trail, 1 reservable picnic shelter, outdoor basketball court","Yes","Yes","No","No","No","Paradise Ridge Park","Yes","No","1","No","No","No","Yes","No","No","{""address"":""3000 Morgan Rd"",""city"":""Nashville"",""state"":""TN"",""zip"":""""}",FALSE,"No","No","Yes","No","Yes","No","Yes","No","No","No","No","No","98.41","No","No","No",NA,NA
"78","No"," ","No","Yes","No","No","No","Paragon Mills Park","No","No","0","No","No","No","Yes","No","No","{""address"":""465 Benita Dr"",""city"":""Nashville"",""state"":""TN"",""zip"":""""}",FALSE,"Yes","No","No","No","No","No","Yes","No","No","No","No","No","35.68","No","No","No","36.093339","-86.71544"
"79","No","Open Field","Yes","No","No","No","No","Parkwood Park","No","No","0","No","No","Yes","Yes","No","No","{""address"":""3220 Vailview Dr"",""city"":""Nashville"",""state"":""TN"",""zip"":""""}",FALSE,"Yes","No","Yes","No","Yes","No","No","No","No","No","No","No","10.46","No","No","No","36.235934","-86.772111"
"80","No","Historic School Archway, informal ball field","No","No","No","No","No","Parmer Park","Yes","No","1","No","No","No","Yes","Yes","No","{""address"":""578 Leake Ave"",""city"":""Nashville"",""state"":""TN"",""zip"":""""}",FALSE,"Yes","No","Yes","No","Yes","No","Yes","No","No","No","No","No","8.39","No","No","No",NA,NA
"81","No","Steeple Chase Course, Equestrian Facilities, Horseback Riding Trails, Field Station, 2 Park Residences","No","Yes","No","No","Yes","Percy Warner Park","Yes","Yes","12","No","No","No","Yes","Yes","No","{""address"":""7311 Hwy100"",""city"":""Nashville"",""state"":""TN"",""zip"":""""}",FALSE,"No","No","Yes","No","No","No","No","No","No","No","No","No","1991.56","Yes","Yes","No","36.061346","-86.910062"
"82","No"," ","No","No","No","No","No","Potters Field","No","No","0","No","No","No","No","No","No","{""address"":""2301 Metro Center Blvd"",""city"":""Nashville"",""state"":""TN"",""zip"":""""}",FALSE,"Yes","No","No","No","No","No","No","No","No","No","No","No","4.97","No","No","No","36.193625","-86.808126"
"83","No"," ","No","No","No","No","No","Providence Park","No","No","0","No","No","No","Yes","No","No","{""address"":""4170 Providence Park Ln"",""city"":""Nashville"",""state"":""TN"",""zip"":""""}",FALSE,"No","No","Yes","No","No","No","No","No","No","No","No","No","4.19","No","No","No","36.090942","-86.706213"
"84","No","Viewing Tower, Fountains, City Hall","No","No","No","No","No","Public Square Park","No","No","0","No","No","No","No","No","No","{""address"":""10 Public Square"",""city"":""Nashville"",""state"":""TN"",""zip"":""""}",FALSE,"No","No","No","No","No","No","No","No","No","No","No","No","6.01","No","No","No","36.166439","-86.778852"
"85","No"," ","No","No","No","No","No","R. H. Boyd - Preston Taylor Park","No","No","0","No","No","No","Yes","No","No","{""address"":""3900 Clifton Ave"",""city"":""Nashville"",""state"":""TN"",""zip"":""""}",FALSE,"No","No","Yes","No","Yes","No","No","No","No","No","No","No","11.28","No","No","No","36.156997","-86.832726"
"86",NA,"walking trail","No","No","No","No","No","Rachel's Walk","No","No","0","No","No","No","No","No",NA,"{""address"":""801 Fourteenth St"",""city"":""Nashville"",""state"":""TN"",""zip"":""""}",FALSE,"No","No","No","No","Yes",NA,"No","No","No","No","No","No","2.41","No","No","No","36.166133","-86.74744"
"87","No","Old golf paths open to the public for walking","No","No","No","No","No","Ravenwood","No","No","0","No","No","No",NA,"No","No","{""address"":""1176 Stones River Rd"",""city"":""Nashville"",""state"":""TN"",""zip"":""""}",FALSE,"No","No","No","No","Yes","No","No","No","No","No","No","No","172.47","No","No","No",NA,NA
