"","community_garden","notes","community_center","restrooms_available","skate_park","historic_features","mountain_bike_trails","park_name","picnic_shelters","hiking_trails","picnic_shelters_quantity","disc_golf","football_multi_purpose_fields","tennis_courts","playground","canoe_launch","swimming_pool","mapped_location.human_address","mapped_location.needs_recoding","baseball_fields","spray_park","ada_accessible","nature_center","walk_jog_paths","boat_launch","basketball_courts","camping_available_by_permit","dog_park","fishing_by_permit","volleyball","soccer_fields","acres","horse_trails","golf_course","lake","mapped_location.latitude","mapped_location.longitude"
"105","No","Greenway trailhead, Cricket Field","No","Yes","No","No","No","Ted Rhodes Park","No","No","0","No","Yes","Yes","No","No","No","{""address"":""1901 Ed Temple Blvd"",""city"":""Nashville"",""state"":""TN"",""zip"":""""}",FALSE,"No","No","No","No","No","No","No","No","No","No","No","Yes","261.17","No","Yes","No","36.184191","-86.82383"
"106","No"," ","No","No","No","No","No","Tom Joy Park","Yes","No","1","No","No","No","Yes","No","No","{""address"":""1901 Lischey Ave"",""city"":""Nashville"",""state"":""TN"",""zip"":""""}",FALSE,"No","No","Yes","No","No","No","No","No","No","No","No","No","6.81","No","No","No","36.203996","-86.761407"
"107","No"," ","No","No","No","No","No","Tony Rose Park","Yes","No","1","No","No","No","Yes","No","No","{""address"":""8 Music Circle East"",""city"":""Nashville"",""state"":""TN"",""zip"":""""}",FALSE,"No","No","Yes","No","No","No","No","No","No","No","No","No","2.31","No","No","No","36.150772","-86.789662"
"108","No"," ","No","No","No","No","No","Turner School Park","Yes","No","0","No","No","No","Yes","No","No","{""address"":""507 Tanksley Ave"",""city"":""Nashville"",""state"":""TN"",""zip"":""""}",FALSE,"No","No","Yes","No","No","No","No","No","No","No","No","No","0.74","No","No","No","36.108462","-86.745368"
"109","No","Historic Two Rivers Mansion, Wave Country, Greenhouse, Disc Golf, Leathers' Children's Playground, 5 Reserveable Picnic Shelters, Skate Park","No","Yes","Yes","No","No","Two Rivers Park","Yes","No","5","Yes","No","Yes","Yes","Yes","Yes","{""address"":""3150 McGavock Pike"",""city"":""Nashville"",""state"":""TN"",""zip"":""""}",FALSE,"Yes","No","No","No","No","No","No","No","Yes","No","No","No","374.3","No","Yes","Yes","36.184888","-86.676603"
"110","No"," ","No","Yes","Yes","No","No","Una Recreation Park","Yes","No","1","No","Yes","No","Yes","No","No","{""address"":""134 Una Recreation Rd"",""city"":""Nashville"",""state"":""TN"",""zip"":""""}",FALSE,"Yes","No","Yes","No","No","No","No","No","No","No","No","Yes","24.98","No","No","No","36.097545","-86.640856"
"111",NA,"Gazeebo and Memorial","No","No","No","No","No","Veterans Parks","No","No","0","No","No","No","No","No","No","{""address"":""609 Bryan St"",""city"":""Nashville"",""state"":""TN"",""zip"":""""}",FALSE,"No","No","No","No","No",NA,"No","No","No","No","No","No","0.45","No","No","No",NA,NA
"112","No","Across from Country Music Hall of Fame","No","No","No","No","No","Walk of Fame Park","No","No","0","No","No","No","No","No","No","{""address"":""121 4th Ave S"",""city"":""Nashville"",""state"":""TN"",""zip"":""""}",FALSE,"No","No","No","No","No","No","No","No","No","No","No","No","2.67","No","No","No","36.160067","-86.776551"
"113","No","Community Center, Spraypark","Yes","Yes","No","No","No","Watkins Park","Yes","No","1","No","No","Yes","Yes","No","No","{""address"":""616 17th Ave North"",""city"":""Nashville"",""state"":""TN"",""zip"":""""}",FALSE,"Yes","Yes","Yes","No","No","No","Yes","No","No","No","No","No","8.12","No","No","No","36.16284","-86.800901"
"114","No","Open Field","No","No","No","No","No","Wentworth-Caldwell Park","No","No","0","No","No","No","No","No","No","{""address"":""4927 Edmondson"",""city"":""Pikex Nashville"",""state"":""TN"",""zip"":""""}",FALSE,"No","No","No","No","No","No","No","No","No","No","No","No","13.53","No","No","No","36.076334","-86.727407"
"115","No","ADA Approved Tee-Ball","Yes","Yes","No","No","No","West Park","No","No","0","No","No","No","Yes","No","No","{""address"":""6105 Morrow Road"",""city"":""Nashville"",""state"":""TN"",""zip"":""""}",FALSE,"Yes","No","No","No","No","No","Yes","No","No","No","No","No","33.45","No","No","No","36.163446","-86.863055"
"116","No","Cricket Field","No","No","No","No","No","Whites Creek Park","No","No","0","No","No","Yes","No","No","No","{""address"":""7277 Old Hickory Blvd"",""city"":""Nashville"",""state"":""TN"",""zip"":""""}",FALSE,"Yes","No","No","No","No","No","No","No","No","No","No","Yes","19.7","No","No","No",NA,NA
"117","Yes","Community garden, canoe launch, trail","No","No","No","Yes","No","Whitsett Park","Yes","No","1","No","Yes","No","Yes","No","No","{""address"":""0 Thompson Lane"",""city"":""Nashville"",""state"":""TN"",""zip"":""""}",FALSE,"No","No","Yes","No","Yes",NA,"No","No","No","No","No","No","62.61","No","No","No",NA,NA
"118","No"," ","No","No","No","No","No","William A. Pitts Park","Yes","No","1","No","No","No","Yes","No","No","{""address"":""299 Tusculum Rd"",""city"":""Nashville"",""state"":""TN"",""zip"":""""}",FALSE,"Yes","No","Yes","No","No","No","Yes","No","Yes","No","No","No","26.94","No","No","No","36.059541","-86.706819"
"119","No","Indoor Pool","Yes","Yes","No","No","No","William Coleman Park","No","No","1","No","Yes","No","Yes","No","Yes","{""address"":""384 Thompson Ln"",""city"":""Nashville"",""state"":""TN"",""zip"":""""}",FALSE,"No","No","Yes","No","Yes","No","No","No","No","No","No","No","8.77","No","No","No","36.110867","-86.74434"
"120","No"," ","No","No","No","No","No","William Edmondson Park","No","No","0","No","No","No","No","No","No","{""address"":""1700 Charlotte Ave"",""city"":""Nashville"",""state"":""TN"",""zip"":""""}",FALSE,"No","No","No","No","Yes","No","No","No","No","No","No","No","0.86","No","No","No","36.158653","-86.798519"
"121","No"," ","No","No","No","No","No","William Whitfield Park","No","No","0","No","No","No","Yes","No","No","{""address"":""5150 Edmondson Pike"",""city"":""Nashville"",""state"":""TN"",""zip"":""""}",FALSE,"Yes","No","Yes","No","No","No","No","No","No","No","No","No","13.67","No","No","No","36.062137","-86.740079"
"122","No"," ","No","No","No","No","No","Willow Creek Park","Yes","No","1","No","No","No","Yes","No","No","{""address"":""1821 Westchester Dr"",""city"":""Nashville"",""state"":""TN"",""zip"":""""}",FALSE,"No","No","Yes","No","No","No","No","No","No","No","No","No","12.13","No","No","No","36.253394","-86.773497"
"123","No"," ","No","No","No","No","No","Woodmont Park","No","No","0","No","No","Yes","Yes","No","No","{""address"":""912 Estes Rd"",""city"":""Nashville"",""state"":""TN"",""zip"":""""}",FALSE,"No","No","Yes","No","Yes","No","Yes","No","No","No","No","No","3.24","No","No","No","36.120132","-86.835851"
